episode,reward,loss,nutrition,expired_units,fairness_gap,mean_coverage,mismatches,epsilon
85,261.68862757172633,7.18048849105835,1578.0625,21.0,0.7221471833640425,0.24171643252711023,3,0.55428978315417
86,235.129428513423,6.688420017560323,1473.0,29.0,0.7886777814433041,0.18691719527280412,2,0.5504097546720907
87,237.479386338198,6.851290392875671,1316.0625,44.0,0.7082625428708906,0.25863147962417177,2,0.5465568863893862
88,269.18431336504824,6.517909590403239,1464.6875,54.0,0.7678875152906128,0.2439267656023289,1,0.5427309881846604
89,221.94881107955513,5.959087125460306,1400.75,55.0,0.9440157384207604,0.24081461838967444,4,0.5389318712673677
90,266.1718565937473,6.878608274459839,1746.625,28.0,0.8264969572858027,0.2105835021997365,3,0.5351593481684962
91,222.4631172292749,6.876920890808106,1504.0625,41.0,0.5467489855840766,0.21443424220206145,4,0.5314132327313167
92,249.99380142433003,6.694820094108581,1515.5625,47.0,1.5134260826318977,0.2346056302129836,1,0.5276933401021975
93,240.9581650618405,7.156792044639587,1375.875,56.0,0.34661498156243653,0.14190147601862824,0,0.5239994867214821
94,236.08030398578734,6.726746519406636,1412.9375,52.0,0.5791673876968608,0.1669718255012246,2,0.5203314903144317
95,263.90790890185343,6.607984860738118,1651.8125,34.0,0.4112622046067944,0.17346460345177675,1,0.5166891698822307
96,255.1766532372204,6.569515856107076,1612.625,27.0,0.5892789936079497,0.1922882562137742,1,0.5130723456930552
97,224.39874121871495,6.847661916414896,1516.125,41.0,0.6924594990957748,0.1557703696585931,0,0.5094808392732038
98,218.88586729531804,7.048567271232605,1601.875,36.0,0.9397024607750167,0.18185704264598881,4,0.5059144733982913
99,227.16387436717525,6.52365878423055,1454.5625,53.0,0.5047172110254506,0.17396590758821745,2,0.5023730720845032
100,193.53297745744229,6.66089866956075,1217.375,53.0,0.8742290852279889,0.18022758837726366,3,0.49885646057991173
101,287.2870335035803,6.909847927093506,1848.25,23.0,0.3511554044513081,0.18109769737608186,1,0.4953644653558523
102,266.5877732329818,6.46462926864624,1511.3125,30.0,0.6628909628040163,0.22509241864973725,2,0.49189691409836134
103,221.35180791659602,6.378855617841085,1507.625,41.0,0.7101268427939437,0.21405864490983073,5,0.4884536356996728
104,305.0158307906478,6.82210955619812,1790.375,33.0,0.8114227072174399,0.30322698003872256,4,0.48503446024977515
105,254.9241104932389,5.937757690747579,1446.375,59.0,0.6342544801737854,0.22491583050743696,1,0.4816392190280267
106,244.70640345769118,6.772138094902038,1512.75,35.0,0.7141492729996227,0.195671319539181,1,0.4782677444948305
107,223.4550861858934,6.28332417011261,1374.75,39.0,0.4759975409086524,0.1967801209446735,1,0.4749198702833667
108,295.99121101469314,6.0897296587626135,1653.75,56.0,1.0223921031455976,0.31625314699825885,1,0.47159543119138314
109,281.2145323071014,6.065992267926534,1743.1875,51.0,0.49388030918308057,0.21452509526888636,1,0.46829426317304346
110,252.01950701633152,6.099826820691427,1771.375,40.0,0.8124412726292789,0.22206351651465459,5,0.4650162033308321
111,203.47889037134382,6.57124597231547,1320.125,38.0,0.4941145857242834,0.21385863767125451,4,0.4617610899075163
112,315.0289414824723,6.7276333173116045,1983.9375,16.0,0.8219863452951524,0.2931300321335673,6,0.4585287622781637
113,293.32973496662663,6.084268077214559,1753.0625,32.0,1.2933856650942763,0.24213112441800902,1,0.4553190609422165
114,330.04471637879533,6.263903967539469,1743.0625,22.0,0.7387960864421224,0.26204616880648157,0,0.45213182751562103
115,249.18610337985686,6.475768820444743,1498.9375,39.0,0.4611061408307036,0.18315195442411697,3,0.44896690472301165
116,246.3379382242649,6.017959864934285,1484.125,45.0,0.757566412314933,0.2176996290660675,2,0.44582413638995055
117,263.1862217679557,5.681983566284179,1577.6875,62.0,0.7532240667876566,0.21083350341679652,0,0.44270336743522093
118,320.9926437075909,6.605495889981587,1614.0625,31.0,1.0921022241191687,0.3064995665955444,1,0.4396044438631744
119,267.69707209399127,5.812905248006185,1533.4375,53.0,0.6446195219615186,0.21488882490511313,1,0.43652721275613215
120,266.42825223590836,5.8885514497756954,1714.25,24.0,0.49874820521543617,0.18525895071552106,2,0.4334715222668392
