method,reward,nutrition,expired_units,fairness_gap,mean_coverage,mismatches
DQN RL Agent,288.2069228795254,1719.1025,36.96,0.6151052292273405,0.2512572266606075,2.58
First-Come-First-Served Baseline,210.30396414418428,1690.39875,36.96,0.895342384469527,0.27833412166650634,14.5
Greedy Expiry Baseline,251.96552594709487,1728.0025,36.96,0.582250250823766,0.22955366472654756,6.42
Nutrition-First Baseline,198.0793122040955,1854.4725,36.96,1.6980516325239277,0.1289306101705323,1.52
Fairness-First Baseline,286.86213119375753,1719.035,36.96,0.5968400397121092,0.2513844125838839,2.76
Random Baseline,218.75075097680764,1439.23375,37.9,0.7527906217674815,0.19007598083033617,3.66
